restaurant_name,address,city,phone,pos_system,pos_confidence,equipment_age_estimate,replacement_score,verified_contact,contact_phone,last_inspection_date,review_sentiment,pos_mentions_in_reviews
La Kitchen,8222 Main,San Diego,(648) 494-7704,Revel,95%,2 years,57,Owner,(484) 454-5740,2025-09-24,Neutral,2
The Kitchen,7655 1st Ave,San Diego,(445) 239-3086,Square,94%,8 years,79,IT Manager,(776) 203-6119,2025-12-02,Positive,14
La Kitchen,1870 Market,San Francisco,(601) 619-1889,Aloha,91%,2 years,43,Owner,(918) 592-5645,2026-05-02,Mixed,14
La Tavern,8655 1st Ave,San Francisco,(740) 938-3649,Aloha,96%,4 years,36,Owner,(841) 481-3302,2026-02-12,Positive,13
La Bistro,5916 Broadway,Los Angeles,(564) 334-5167,Revel,96%,6 years,68,GM,(810) 560-9783,2026-02-22,Neutral,5
La Bistro,8167 Broadway,San Diego,(511) 310-7694,Revel,94%,7 years,78,Owner,(772) 114-7059,2026-09-05,Negative,12
La Tavern,2172 Market,San Francisco,(212) 156-7096,Revel,81%,3 years,30,GM,(280) 572-5547,2025-10-03,Mixed,2
The Bistro,8464 1st Ave,Los Angeles,(388) 507-5062,Clover,85%,7 years,55,Owner,(386) 888-5806,2024-08-03,Negative,9
The Grill,3626 Broadway,San Diego,(910) 171-9549,Toast,94%,4 years,93,GM,(203) 349-1249,2024-05-04,Positive,11
La Bistro,1009 Main,San Francisco,(562) 819-2300,Revel,85%,7 years,92,IT Manager,(625) 751-4019,2024-06-10,Neutral,3
La Kitchen,2001 1st Ave,Los Angeles,(850) 642-3630,Aloha,81%,5 years,45,Owner,(516) 439-4124,2024-09-08,Mixed,3
The Grill,5375 Broadway,San Diego,(244) 726-6027,Clover,93%,2 years,72,Owner,(315) 454-8541,2025-06-18,Mixed,8
La Grill,6682 Market,San Francisco,(201) 973-1092,Square,79%,2 years,83,Owner,(835) 331-2246,2026-10-07,Negative,9
Golden Bistro,1872 1st Ave,San Diego,(586) 880-4514,Clover,80%,6 years,38,IT Manager,(630) 676-8506,2025-03-21,Negative,13
The Bistro,9635 1st Ave,Los Angeles,(424) 919-1116,Revel,78%,5 years,64,IT Manager,(539) 311-5491,2024-03-28,Negative,9
The Tavern,7292 1st Ave,San Francisco,(442) 685-5298,Aloha,94%,2 years,56,Owner,(614) 296-8518,2026-06-13,Neutral,15
Golden Grill,4856 1st Ave,Los Angeles,(415) 284-6685,Revel,81%,2 years,54,GM,(502) 191-5527,2025-03-11,Mixed,6
La Tavern,8728 1st Ave,San Diego,(363) 780-7863,Square,79%,8 years,82,GM,(798) 138-9672,2025-02-04,Negative,14
La Grill,4921 Market,Los Angeles,(286) 599-8844,Square,88%,4 years,25,GM,(283) 816-5762,2025-06-08,Neutral,11
Golden Grill,813 1st Ave,San Diego,(571) 338-7881,Toast,85%,3 years,72,Owner,(723) 317-3238,2025-09-06,Mixed,15
La Grill,3261 1st Ave,San Diego,(346) 662-4452,Toast,94%,4 years,61,GM,(464) 616-7688,2024-03-14,Negative,0
Golden Bistro,9855 Main,Los Angeles,(661) 952-3059,Square,96%,8 years,94,IT Manager,(342) 476-9624,2025-04-20,Positive,3
